latitude,longitude,chi,elevation,flow_distance,drainage_area,slope,source_key,basin_key
34.4165606,110.287985,3.3432,1078,17788,4.8555e+06,0.063859,0,0
34.4165606,110.287985,3.3432,1078,17788,4.8555e+06,0.06994,0,0
34.4165606,110.287985,3.3432,1078,17788,4.8555e+06,0.060948,0,0
34.4173778,110.288957,3.2782,1073,17643,5.0076e+06,0.058736,0,0
34.4181894,110.28895,3.227,1067,17528,5.0499e+06,0.056067,0,0
34.4184599,110.288948,3.2136,1065,17498,5.0679e+06,0.059448,0,0
34.4184599,110.288948,3.2136,1065,17498,5.0679e+06,0.064435,0,0
34.4184599,110.288948,3.2136,1065,17498,5.0679e+06,0.073119,0,0
34.4187286,110.288619,3.1948,1062,17456,5.0724e+06,0.073495,0,0
34.4189972,110.28829,3.1759,1057,17414,5.0769e+06,0.088193,0,0
34.4189972,110.28829,3.1759,1057,17414,5.0769e+06,0.094991,0,0
34.4189972,110.28829,3.1759,1057,17414,5.0769e+06,0.10516,0,0
34.4192658,110.287962,3.1571,1053,17371,5.085e+06,0.12518,0,0
34.4195345,110.287633,3.1383,1046,17329,5.1048e+06,0.13987,0,0
34.4195345,110.287633,3.1383,1046,17329,5.1048e+06,0.082601,0,0
34.419805,110.287631,3.125,1040,17299,5.1426e+06,0.090861,0,0
34.4208795,110.286316,3.0504,1031,17129,5.1948e+06,0.10325,0,0
34.4211481,110.285987,3.0318,1021,17087,5.2407e+06,0.078577,0,0
34.4211481,110.285987,3.0318,1021,17087,5.2407e+06,0.094282,0,0
34.4211481,110.285987,3.0318,1021,17087,5.2407e+06,0.10512,0,0
34.4211481,110.285987,3.0318,1021,17087,5.2407e+06,0.079436,0,0
34.4211481,110.285987,3.0318,1021,17087,5.2407e+06,0.07594,0,0
34.4227636,110.284667,2.9511,1009,16839,1.1066e+07,0.06577,0,0
34.4227636,110.284667,2.9511,1009,16839,1.1066e+07,0.071597,0,0
34.4230342,110.284665,2.9421,1008,16809,1.1086e+07,0.072156,0,0
34.4230342,110.284665,2.9421,1008,16809,1.1086e+07,0.080898,0,0
34.4230342,110.284665,2.9421,1008,16809,1.1086e+07,0.097642,0,0
34.4230342,110.284665,2.9421,1008,16809,1.1086e+07,0.12313,0,0
34.4233028,110.284336,2.9294,1002,16767,1.1096e+07,0.071597,0,0
34.4235733,110.284334,2.9204,998,16737,1.1117e+07,0.062911,0,0
34.4235733,110.284334,2.9204,998,16737,1.1117e+07,0.065686,0,0
34.424926,110.284322,2.868,991,16562,1.1189e+07,0.06102,0,0
34.4254689,110.284644,2.8463,987,16490,1.1254e+07,0.055306,0,0
34.4254689,110.284644,2.8463,987,16490,1.1254e+07,0.0572,0,0
34.4254689,110.284644,2.8463,987,16490,1.1254e+07,0.062558,0,0
34.4260081,110.284313,2.8248,986,16417,1.1305e+07,0.07483,0,0
34.4262786,110.284311,2.8158,983,16387,1.1306e+07,0.079265,0,0
34.4265491,110.284308,2.8069,977,16357,1.132e+07,0.051003,0,0
34.4265491,110.284308,2.8069,977,16357,1.132e+07,0.058654,0,0
34.4265491,110.284308,2.8069,977,16357,1.132e+07,0.057191,0,0
34.4268197,110.284306,2.798,973.01,16327,1.1332e+07,0.057996,0,0
34.4268197,110.284306,2.798,973.01,16327,1.1332e+07,0.065685,0,0
34.4276293,110.283973,2.7602,973,16200,1.1387e+07,0.07226,0,0
34.4281704,110.283968,2.7424,967,16140,1.14e+07,0.047963,0,0
34.4287076,110.283311,2.7173,959,16055,1.143e+07,0.046996,0,0
34.4287076,110.283311,2.7173,959,16055,1.143e+07,0.051919,0,0
34.4287076,110.283311,2.7173,959,16055,1.143e+07,0.057996,0,0
34.4287076,110.283311,2.7173,959,16055,1.143e+07,0.065685,0,0
34.4287076,110.283311,2.7173,959,16055,1.143e+07,0.068813,0,0
34.4295192,110.283304,2.6852,957,15940,1.5678e+07,0.068813,0,0
34.4297897,110.283301,2.6776,954,15910,1.568e+07,0.072129,0,0
34.4303308,110.283297,2.6625,949,15850,1.5744e+07,0.054485,0,0
34.4306013,110.283294,2.6549,945,15820,1.6602e+07,0.056109,0,0
34.4306013,110.283294,2.6549,945,15820,1.6602e+07,0.06291,0,0
34.4306013,110.283294,2.6549,945,15820,1.6602e+07,0.068342,0,0
34.4314129,110.283287,2.6267,944,15705,1.6639e+07,0.065087,0,0
34.4316853,110.283612,2.6163,942,15663,1.6646e+07,0.057191,0,0
34.4319559,110.283609,2.609,936,15633,1.6657e+07,0.060573,0,0
34.4322264,110.283607,2.6016,934,15603,1.6661e+07,0.057939,0,0
34.4322264,110.283607,2.6016,934,15603,1.6661e+07,0.060062,0,0
34.4322264,110.283607,2.6016,934,15603,1.6661e+07,0.068348,0,0
34.4322264,110.283607,2.6016,934,15603,1.6661e+07,0.079289,0,0
34.4327693,110.283929,2.5839,932,15531,1.6666e+07,0.079231,0,0
34.4333104,110.283924,2.5695,926,15471,1.8327e+07,0.054671,0,0
34.4335809,110.283922,2.5625,923,15441,1.8342e+07,0.053829,0,0
34.4335809,110.283922,2.5625,923,15441,1.8342e+07,0.055377,0,0
