latitude,longitude,chi,elevation,flow_distance,drainage_area,source_key,basin_key
55.8774359,-2.5492564,9.1343,389.98,4230,46852,0,0
55.8774537,-2.54922423,9.1119,389.98,4227.2,46864,0,0
55.8774717,-2.54922402,9.0961,389.95,4225.2,46912,0,0
55.8774897,-2.54922381,9.0803,389.95,4223.2,48104,0,0
55.8775075,-2.54919163,9.0581,389.91,4220.3,48160,0,0
55.8775255,-2.54919143,9.0425,389.91,4218.3,48172,0,0
55.8775433,-2.54915925,9.0204,389.91,4215.5,49256,0,0
55.8775612,-2.54912708,8.9985,389.91,4212.7,52228,0,0
55.8775792,-2.54912687,8.9835,389.91,4210.7,52692,0,0
55.877597,-2.5490947,8.9623,389.87,4207.8,52732,0,0
55.877615,-2.54909449,8.9473,389.87,4205.8,53952,0,0
55.8776328,-2.54906231,8.9263,389.85,4203,53968,0,0
55.8776507,-2.54903014,8.9053,389.85,4200.2,54080,0,0
55.8776326,-2.54899838,8.8843,389.83,4197.4,54084,0,0
55.8776145,-2.54896662,8.8633,389.5,4194.5,54100,0,0
55.8775964,-2.54893487,8.8424,389.34,4191.7,54112,0,0
55.8775963,-2.5489029,8.8275,389.2,4189.7,54120,0,0
55.8775962,-2.54887094,8.8127,389.07,4187.7,54128,0,0
55.8775961,-2.54883897,8.7979,388.95,4185.7,54188,0,0
55.877578,-2.54880721,8.7769,388.89,4182.9,54192,0,0
55.8775779,-2.54877525,8.7621,388.81,4180.9,54200,0,0
55.8775778,-2.54874328,8.7473,388.64,4178.9,54212,0,0
55.8775776,-2.54871131,8.7325,388.52,4176.9,54220,0,0
55.8775596,-2.54867956,8.7115,388.36,4174,54312,0,0
55.8775415,-2.5486478,8.6906,388.14,4171.2,54316,0,0
55.8775234,-2.54861604,8.6697,387.93,4168.4,54320,0,0
55.8775233,-2.54858408,8.6549,387.76,4166.4,54524,0,0
55.8775232,-2.54855211,8.6401,387.68,4164.4,54528,0,0
55.877523,-2.54852014,8.6253,387.56,4162.4,54532,0,0
55.8775229,-2.54848818,8.6105,387.46,4160.4,54536,0,0
55.8775228,-2.54845621,8.5958,387.38,4158.4,54540,0,0
55.8775227,-2.54842425,8.581,387.31,4156.4,54544,0,0
55.8775046,-2.54839249,8.5601,387.22,4153.6,54572,0,0
55.8774865,-2.54836073,8.5392,387.1,4150.7,54612,0,0
55.8774864,-2.54832877,8.5244,387,4148.7,54616,0,0
55.8774863,-2.5482968,8.5097,386.9,4146.7,54620,0,0
55.8774862,-2.54826484,8.4949,386.82,4144.7,54624,0,0
55.877486,-2.54823287,8.4801,386.72,4142.7,54628,0,0
55.8774859,-2.5482009,8.4654,386.6,4140.7,54632,0,0
55.8774858,-2.54816894,8.4506,386.48,4138.7,54636,0,0
55.8774857,-2.54813697,8.4359,386.39,4136.7,54640,0,0
55.8774856,-2.54810501,8.4211,386.31,4134.7,54644,0,0
55.8774855,-2.54807304,8.4063,386.24,4132.7,57672,0,0
55.8775033,-2.54804087,8.386,386.12,4129.9,57724,0,0
55.8775032,-2.5480089,8.3715,385.98,4127.9,57740,0,0
55.8775031,-2.54797693,8.3571,385.89,4125.9,57756,0,0
55.8775209,-2.54794476,8.3368,385.75,4123.1,1.0146e+05,0,0
55.8775208,-2.54791279,8.3256,385.6,4121.1,1.0148e+05,0,0
55.8775207,-2.54788083,8.3144,385.47,4119.1,1.0148e+05,0,0
55.8775206,-2.54784886,8.3033,385.31,4117.1,1.0148e+05,0,0
55.8775205,-2.5478169,8.2921,385.15,4115.1,1.015e+05,0,0
55.8775384,-2.54781669,8.2809,385.09,4113.1,1.0156e+05,0,0
55.8775383,-2.54778472,8.2698,385.07,4111.1,1.0161e+05,0,0
55.8775382,-2.54775276,8.2586,385.02,4109.1,1.0162e+05,0,0
55.8775201,-2.547721,8.2428,384.94,4106.2,1.0162e+05,0,0
55.877502,-2.54768924,8.227,384.7,4103.4,1.0162e+05,0,0
55.8774839,-2.54765749,8.2112,384.48,4100.6,1.0163e+05,0,0
55.8774838,-2.54762552,8.2001,384.35,4098.6,1.0164e+05,0,0
55.8774837,-2.54759355,8.1889,384.28,4096.6,1.0165e+05,0,0
55.8774836,-2.54756159,8.1777,384.19,4094.6,1.0165e+05,0,0
55.8774835,-2.54752962,8.1666,384.12,4092.6,1.0209e+05,0,0
55.8775013,-2.54749745,8.1508,383.99,4089.8,1.0212e+05,0,0
55.8775192,-2.54746527,8.135,383.84,4086.9,1.0216e+05,0,0
55.877519,-2.54743331,8.1239,383.72,4084.9,1.0216e+05,0,0
55.8775189,-2.54740134,8.1128,383.56,4082.9,1.0217e+05,0,0
55.8775188,-2.54736938,8.1016,383.36,4080.9,1.0217e+05,0,0
55.8775187,-2.54733741,8.0905,383.19,4078.9,1.0222e+05,0,0
55.8775186,-2.54730544,8.0794,383.01,4076.9,1.0411e+05,0,0
55.8775185,-2.54727348,8.0683,382.81,4074.9,1.0413e+05,0,0
55.8775183,-2.54724151,8.0573,382.56,4072.9,1.0416e+05,0,0
55.8775182,-2.54720955,8.0462,382.2,4070.9,1.0536e+05,0,0
55.8775181,-2.54717758,8.0352,381.72,4068.9,1.0537e+05,0,0
55.877518,-2.54714562,8.0242,381.14,4066.9,1.0574e+05,0,0
55.8775179,-2.54711365,8.0133,381.03,4064.9,1.0582e+05,0,0
55.8775178,-2.54708168,8.0023,381.02,4062.9,1.0583e+05,0,0
55.8775176,-2.54704972,7.9914,380.93,4060.9,1.0584e+05,0,0
55.8775175,-2.54701775,7.9804,380.86,4058.9,1.1118e+05,0,0
55.8775174,-2.54698579,7.9697,380.78,4056.9,1.1119e+05,0,0
55.8774993,-2.54695403,7.9545,380.62,4054.1,1.1127e+05,0,0
55.8774992,-2.54692206,7.9438,380.55,4052.1,1.144e+05,0,0
55.8774991,-2.5468901,7.9332,380.52,4050.1,1.1441e+05,0,0
55.877481,-2.54685834,7.9182,380.45,4047.3,1.1445e+05,0,0
55.8774809,-2.54682638,7.9076,380.31,4045.3,1.145e+05,0,0
55.8774808,-2.54679441,7.8971,380.17,4043.3,1.1452e+05,0,0
55.8774806,-2.54676244,7.8865,380.04,4041.3,1.1464e+05,0,0
55.8774805,-2.54673048,7.8759,379.88,4039.3,1.1544e+05,0,0
55.8774804,-2.54669851,7.8654,379.78,4037.3,1.1544e+05,0,0
55.8774623,-2.54666676,7.8505,379.61,4034.4,1.1547e+05,0,0
55.8774622,-2.54663479,7.8399,379.47,4032.4,1.1549e+05,0,0
55.8774441,-2.54660303,7.825,379.41,4029.6,1.185e+05,0,0
55.877444,-2.54657107,7.8146,379.3,4027.6,1.1852e+05,0,0
55.8774618,-2.54653889,7.7998,379.17,4024.8,1.1856e+05,0,0
55.8774617,-2.54650693,7.7894,379.02,4022.8,1.187e+05,0,0
55.8774616,-2.54647496,7.779,378.92,4020.8,1.1872e+05,0,0
55.8774795,-2.54644279,7.7643,378.76,4018,1.1874e+05,0,0
55.8774793,-2.54641082,7.7539,378.67,4016,1.1892e+05,0,0
55.8774792,-2.54637885,7.7435,378.59,4014,1.1892e+05,0,0
55.8774791,-2.54634689,7.7331,378.47,4012,1.2167e+05,0,0
55.877479,-2.54631492,7.7228,378.37,4010,1.2168e+05,0,0
55.8774789,-2.54628296,7.7125,378.24,4008,1.2168e+05,0,0
55.8774788,-2.54625099,7.7022,378.1,4006,1.2168e+05,0,0
55.8774607,-2.54621924,7.6876,377.91,4003.1,1.2169e+05,0,0
55.8774426,-2.54618748,7.6731,377.68,4000.3,1.2176e+05,0,0
55.8774425,-2.54615551,7.6628,377.59,3998.3,1.2176e+05,0,0
55.8774423,-2.54612355,7.6525,377.47,3996.3,1.2177e+05,0,0
55.8774243,-2.54609179,7.6379,377.32,3993.5,1.2255e+05,0,0
55.8774241,-2.54605983,7.6277,377.14,3991.5,1.2256e+05,0,0
55.877406,-2.54602807,7.6131,376.94,3988.6,1.227e+05,0,0
55.8774059,-2.5459961,7.6029,376.84,3986.6,1.2481e+05,0,0
55.8773878,-2.54596435,7.5885,376.69,3983.8,1.2899e+05,0,0
55.8773877,-2.54593238,7.5785,376.61,3981.8,1.3183e+05,0,0
55.8773696,-2.54590063,7.5644,376.56,3979,1.3238e+05,0,0
55.8773875,-2.54586845,7.5504,376.5,3976.2,1.3239e+05,0,0
55.8773874,-2.54583649,7.5405,376.4,3974.2,1.3281e+05,0,0
55.8773873,-2.54580452,7.5306,376.31,3972.2,1.3282e+05,0,0
55.8774051,-2.54577234,7.5166,376.24,3969.3,1.3284e+05,0,0
55.877405,-2.54574038,7.5067,376.16,3967.3,1.3285e+05,0,0
55.8774049,-2.54570841,7.4968,376.03,3965.3,1.3285e+05,0,0
55.8773868,-2.54567666,7.4828,375.78,3962.5,1.3289e+05,0,0
55.8773687,-2.5456449,7.4688,375.61,3959.7,1.3308e+05,0,0
55.8773686,-2.54561294,7.4589,375.5,3957.7,1.3313e+05,0,0
55.8773685,-2.54558097,7.449,375.4,3955.7,1.3342e+05,0,0
55.8773683,-2.545549,7.4391,375.27,3953.7,1.7192e+05,0,0
55.8773503,-2.54551725,7.4267,375.13,3950.9,1.7194e+05,0,0
55.8773501,-2.54548528,7.4179,374.93,3948.9,1.7197e+05,0,0
55.87735,-2.54545332,7.4091,374.77,3946.9,1.733e+05,0,0
55.8773499,-2.54542135,7.4003,374.73,3944.9,1.7335e+05,0,0
